Series Name,Country Name,Country Code,1990,2000,2012,2013,2014,2015,2016,2017,2018,2019,2020
GDP growth (annual %),Guatemala,GTM,3.10256318,3.608868717,2.974708568,3.694819199,4.443977583,4.092170816,2.677802555,3.079851491,3.322097997,3.866856575,-1.519328029
